,Path,Genre
0,Northern_Renaissance/hieronymus-bosch_st-jacques-and-the-magician-hermogenes.jpg,7
1,Post_Impressionism/vincent-van-gogh_ears-of-wheat-1890(1).jpg,4
2,Symbolism/theodor-severin-kittelsen_kvitebj-rn-kong-valemon-1912-2.jpg,3
3,Expressionism/martiros-saryan_mother-of-the-artist-1904.jpg,6
4,Early_Renaissance/leonardo-da-vinci_study-for-the-madonna-with-the-fruit-bowl.jpg,8
5,Expressionism/jose-gutierrez-solana_old-mountain.jpg,6
6,Minimalism/clyfford-still_ph-1033-1976.jpg,0
7,Contemporary_realism/john-french-sloan_helen-taylor-sketching-1916.jpg,2
8,Ukiyo_e/utagawa-kunisada_not_detected_240343.jpg,5
9,Naive_Art_Primitivism/marc-chagall_clown-with-the-yellow-goat-1982.jpg,2
10,Expressionism/nikolaos-lytras_landscape-of-sounio-1919.jpg,4
11,Abstract_Expressionism/conrad-marca-relli_fortune-teller.jpg,0
12,Rococo/maurice-quentin-de-la-tour_the-cellist.jpg,6
13,Realism/william-adolphe-bouguereau_a-childhood-idyll-1900.jpg,6
14,Romanticism/cornelis-springer_the-town-hall-and-market-at-naarden-1864.jpg,1
15,Post_Impressionism/grace-cossington-smith_trees-1927.jpg,4
16,High_Renaissance/vittore-carpaccio_portrait-of-a-knight-1510.jpg,6
17,Rococo/vladimir-borovikovsky_portrait-of-gavrila-romanovich-derzhavin-1811.jpg,6
18,Fauvism/janos-mattis-teutsch_lonely-tree-1917.jpg,4
19,Minimalism/william-scott_blue-on-blue-1967.jpg,0
20,Northern_Renaissance/albrecht-durer_temptation.jpg,7
21,Impressionism/pierre-auguste-renoir_woman-with-a-parasol-1872.jpg,6
22,Northern_Renaissance/albrecht-durer_man-in-armor-on-horseback-1498.jpg,2
23,Post_Impressionism/vincent-van-gogh_wheat-field-with-the-alpilles-foothills-in-the-background-1888.jpg,4
24,Expressionism/akseli-gallen-kallela_portrait-of-phyllis-sj-str-m-1914.jpg,6
25,Baroque/aelbert-cuyp_lady-and-gentleman-on-horseback-1655.jpg,2
26,Art_Nouveau_Modern/raphael-kirchner_girls-with-good-luck-charms-1.jpg,2
27,Post_Impressionism/panayiotis-tetsis_tables-vi-1985.jpg,9
28,Impressionism/kimon-loghi_the-tree.jpg,4
29,Cubism/marc-chagall_the-fiddler-1913.jpg,2
30,Northern_Renaissance/joachim-patinir_rocky-landscape-with-saint-jerome.jpg,7
31,Realism/vincent-van-gogh_soup-distribution-in-a-public-soup-kitchen-1883.jpg,2
32,Post_Impressionism/edouard-cortes_paris-evening.jpg,1
33,Post_Impressionism/edouard-cortes_the-view-from-madeleine-la-rue-royale.jpg,1
34,Abstract_Expressionism/theodoros-stamos_infinity-field-torino-series-1-1986.jpg,0
35,Abstract_Expressionism/sam-francis_untitled-sf-90-342-1990.jpg,0
36,Realism/martin-johnson-heade_mary-rebecca-clark-1857.jpg,6
37,Impressionism/camille-pissarro_landscape-louveciennes.jpg,4
38,Mannerism_Late_Renaissance/agnolo-bronzino_portrait-of-lucrezia-de-medici.jpg,6
39,Cubism/juan-gris_glass-and-carafe-1917.jpg,9
40,Realism/william-adolphe-bouguereau_plums.jpg,6
41,Northern_Renaissance/lucas-cranach-the-elder_portrait-of-a-young-girl-magdalena-luther.jpg,6
42,Post_Impressionism/paul-gauguin_the-creek-le-pouldu-1889.jpg,4
43,Romanticism/konstantin-makovsky_portrait-of-margarita-savina.jpg,6
44,Expressionism/egon-schiele_untitled.jpg,8
45,Baroque/jacob-isaakszoon-van-ruisdael_sunrise-in-a-wood.jpg,4
46,Realism/thomas-eakins_shad-fishing-at-gloucester-on-the-delaware-river-1881-1.jpg,2
47,Northern_Renaissance/albrecht-durer_the-adoration-of-the-magi-1504.jpg,7
48,Contemporary_realism/george-luks_hitch-team-1916.jpg,2
49,High_Renaissance/pinturicchio_the-annunciation-1501.jpg,7
50,Early_Renaissance/piero-della-francesca_st-andrew-and-st-bernardino.jpg,7
51,Romanticism/gustave-moreau_shepherds-viewing-passing-soldiers.jpg,2
52,Post_Impressionism/vincent-van-gogh_three-white-cottages-in-saintes-maries-1888.jpg,4
53,Realism/boris-kustodiev_portrait-of-i-s-zolotarevsky-1921.jpg,6
