,Path,Artist
0,Realism/vincent-van-gogh_pine-trees-in-the-fen-1884.jpg,22
1,Baroque/rembrandt_the-angel-appearing-to-the-shepherds-1634.jpg,20
2,Post_Impressionism/paul-cezanne_portrait-of-the-artist-s-son.jpg,16
3,Impressionism/pierre-auguste-renoir_young-girl-seated-in-a-meadow-1916.jpg,17
4,Romanticism/ivan-aivazovsky_morning-1851.jpg,9
5,Art_Nouveau_Modern/boris-kustodiev_meeting-easter-day-1917.jpg,1
6,Realism/vincent-van-gogh_vase-with-asters-and-phlox-1886.jpg,22
7,Romanticism/ivan-aivazovsky_night-in-the-ukraine-1871.jpg,9
8,Northern_Renaissance/albrecht-durer_deposition-engraved-passion-1512.jpg,0
9,Realism/john-singer-sargent_leon-delafosse.jpg,11
10,Romanticism/ivan-aivazovsky_rush-on-dnepr-near-aleshki-1857.jpg,9
11,Symbolism/nicholas-roerich_patrol-1905.jpg,14
12,Symbolism/nicholas-roerich_remember-1945.jpg,14
13,Realism/boris-kustodiev_portrait-of-the-painter-ivan-bilibin-1901.jpg,1
14,Impressionism/pierre-auguste-renoir_young-woman-with-crane-1886.jpg,17
15,Naive_Art_Primitivism/marc-chagall_still-life-with-bouquet-1962.jpg,12
16,Realism/vincent-van-gogh_peasant-woman-with-shawl-over-her-head-seen-from-the-side-1885.jpg,22
17,Romanticism/gustave-dore_the-sculptures.jpg,7
18,Romanticism/ivan-aivazovsky_lunar-night-at-the-spring-1877.jpg,9
19,Romanticism/gustave-dore_farinata.jpg,7
20,Baroque/rembrandt_sick-woman-with-a-large-white-headdress-saskia.jpg,20
21,Realism/pyotr-konchalovsky_in-the-woods-1945.jpg,18
22,Impressionism/pierre-auguste-renoir_houses-in-cagnes-1908.jpg,17
23,Expressionism/martiros-saryan_in-the-garden-1928.jpg,13
24,Baroque/rembrandt_portrait-of-margeretha-de-geer-1661.jpg,20
25,Impressionism/claude-monet_dolceacqua-bridge.jpg,4
26,Symbolism/nicholas-roerich_tibet-1929.jpg,14
27,Expressionism/martiros-saryan_flowers-against-the-backdrop-of-carpet-1915.jpg,13
28,Realism/ivan-shishkin_deciduous-forest-1873.jpg,10
29,Realism/vincent-van-gogh_seated-male-nude-seen-from-the-back.jpg,22
30,Realism/vincent-van-gogh_portrait-of-a-woman-1885.jpg,22
31,Northern_Renaissance/albrecht-durer_apostle-bartholomew.jpg,0
32,Post_Impressionism/paul-cezanne_still-life-with-basket.jpg,16
33,Naive_Art_Primitivism/marc-chagall_self-portrait-1963.jpg,12
34,Expressionism/pablo-picasso_head-of-dead-woman-1902.jpg,15
35,Romanticism/ivan-aivazovsky_sea-view-1867.jpg,9
36,Naive_Art_Primitivism/marc-chagall_king-david-s-tower-1971.jpg,12
37,Art_Nouveau_Modern/nicholas-roerich_king-s-room-1913.jpg,14
38,Art_Nouveau_Modern/raphael-kirchner_deadly-sins-2.jpg,19
39,Baroque/rembrandt_portrait-of-clement-de-jonge-1651.jpg,20
40,Impressionism/pierre-auguste-renoir_still-life-with-bouquet-1871.jpg,17
41,Realism/ilya-repin_portrait-of-a-kalmyk-1871.jpg,8
42,Symbolism/nicholas-roerich_procopius-the-righteous-removes-a-cloud-of-stone-from-the-great-ustyug-1913.jpg,14
43,Impressionism/eugene-boudin_deauville-the-beach-low-tide.jpg,6
44,Impressionism/pierre-auguste-renoir_still-life-with-strawberries-2.jpg,17
45,Expressionism/salvador-dali_satirical-composition-the-dance-by-matisse.jpg,21
46,Northern_Renaissance/albrecht-durer_laughing-peasant-woman-1505.jpg,0
47,Post_Impressionism/paul-cezanne_house-behind-trees-on-the-road-to-tholonet-1887.jpg,16
48,Realism/vincent-van-gogh_peasant-woman-with-shawl-over-her-head-seen-from-the-side-2-1885.jpg,22
49,Post_Impressionism/pablo-picasso_the-good-derain-1910.jpg,15
50,Post_Impressionism/paul-cezanne_seated-woman-1895.jpg,16
51,Art_Nouveau_Modern/raphael-kirchner_milkmaid.jpg,19
52,Realism/vincent-van-gogh_garbage-dump-1883(1).jpg,22
53,Impressionism/salvador-dali_the-tartan-el-son.jpg,21
54,Post_Impressionism/paul-cezanne_in-the-woods-1885.jpg,16
55,Baroque/rembrandt_portrait-of-joris-de-caullery-1632.jpg,20
