,Path,Style
0,Impressionism/edgar-degas_landscape-on-the-orne.jpg,12
1,Realism/camille-corot_mantes-cathedral.jpg,21
2,Abstract_Expressionism/gene-davis_untitled-1979(3).jpg,0
3,Symbolism/kuzma-petrov-vodkin_in-the-1920.jpg,24
4,Impressionism/maurice-prendergast_paris-boulevard-in-the-rain-1893.jpg,12
5,Cubism/candido-portinari_chorinho-1942.jpg,7
6,Art_Nouveau_Modern/gustav-klimt_the-tree-of-life-stoclet-frieze.jpg,3
7,Symbolism/ion-theodorescu-sion_ovid-in-exile-1915.jpg,24
8,Romanticism/william-turner_pope-s-villa-at-twickenham.jpg,23
9,Minimalism/gene-davis_tarzan-series-i-1969(1).jpg,7
10,Pop_Art/hiro-yamagata_joan-d-arc.jpg,19
11,Impressionism/claude-monet_morning-on-the-seine-near-giverny-1.jpg,12
12,Impressionism/edgar-degas_dancers-backstage-detail-1883-1.jpg,12
13,Impressionism/claude-monet_the-tea-set.jpg,12
14,Minimalism/robert-mangold_distorted-circle-within-a-polygon-i-1972.jpg,14
15,Impressionism/pierre-auguste-renoir_portrait-of-a-young-girl.jpg,12
16,Post_Impressionism/vincent-van-gogh_plaster-statuette-of-a-female-torso-1886-1.jpg,20
17,Minimalism/luis-feito_untitled-1965.jpg,7
18,Romanticism/taras-shevchenko_architectural-project-of-private-house-facade-1860.jpg,23
19,Realism/vasily-surikov_young-lady-with-his-arms-folded-study-to-boyarynya-morozova.jpg,21
20,Symbolism/nicholas-roerich_guru-kambala-1940.jpg,24
21,Rococo/giovanni-domenico-tiepolo_the-head-of-an-old-man-inscribed-diogenes.jpg,22
22,Romanticism/theodore-gericault_paysage-classique-matin.jpg,23
23,Symbolism/konstantin-bogaevsky_koktebel-house-of-maximilian-voloshin-1905.jpg,24
24,Rococo/vladimir-borovikovsky_alexander-i.jpg,22
25,Symbolism/martiros-saryan_caravan-1926.jpg,24
26,Impressionism/edgar-degas_the-star-dancer-on-pointe.jpg,12
27,Rococo/giovanni-domenico-tiepolo_virgin-and-child-with-saints.jpg,22
28,Impressionism/octav-angheluta_ivan-lipoveanul-1969.jpg,12
29,Realism/theodor-severin-kittelsen_doed-fugl(2).jpg,21
30,Post_Impressionism/henri-de-toulouse-lautrec_woman-at-her-toilette-them-washing-herself-1896.jpg,20
31,Rococo/william-hogarth_the-ball.jpg,22
32,Fauvism/joan-miro_still-life-with-rose.jpg,10
33,Abstract_Expressionism/william-scott_angle-1963.jpg,0
34,Realism/henri-fantin-latour_plate-of-fruit-1880.jpg,21
35,Symbolism/odilon-redon_woman-with-pillar-of-flowers-1903.jpg,24
36,Impressionism/nicolae-darascu_tulcea-square.jpg,12
37,Cubism/olga-rozanova_writing-desk.jpg,7
38,Post_Impressionism/suzanne-valadon_casting-the-net-1914.jpg,20
39,High_Renaissance/dosso-dossi_sapiente-con-compasso-e-globo.jpg,11
40,Post_Impressionism/gustave-loiseau_the-seine-at-pontoise.jpg,20
41,Rococo/antoine-watteau_the-judgment-of-paris-1721.jpg,22
42,Art_Nouveau_Modern/leon-bakst_le-martyre-de-saint-sebastien-ida-rubinstein-as-st-sebastian-1911.jpg,3
43,Expressionism/lynd-ward_not-detected-272492.jpg,9
44,Symbolism/kuzma-petrov-vodkin_the-model-1907.jpg,24
45,Baroque/francesco-solimena_expulsion-of-heliodorus-from-the-temple.jpg,4
46,Expressionism/chaim-soutine_woman-in-profile-portrait-of-madame-tennent.jpg,9
47,Impressionism/camille-pissarro_shepherdesses.jpg,12
48,Pop_Art/andy-warhol_truck-announcement.jpg,19
